Model,Accuracy,Precision (weighted),Recall (weighted),F1-score (weighted)
Decision Tree,0.9999418418680392,0.9998836940027183,0.9999418418680392,0.9999127653689618
Random Forest,0.9999418418680392,0.9999369977879409,0.9999418418680392,0.999938726488635
Logistic Regression,0.9998109860711274,0.999753177793241,0.9998109860711274,0.9997816303121274
K-Nearest Neighbors,0.9994620372793626,0.99940423284165,0.9994620372793626,0.9994330744005437
Naive Bayes,0.9577626566634679,0.9615653307641399,0.9577626566634679,0.9560526522909293
